ADX,DI_minus,DI_plus,date
32.1279076969,35.5265598284,12.0432745845,2015-06-11
34.7156701863,32.6358329851,10.437504437,2015-06-12
38.0088387165,35.5307814687,9.04583702637,2015-06-15
37.5814716066,30.7933434899,14.8928944997,2015-06-16
36.421982677,26.6875640202,14.7253246684,2015-06-17
35.417092295,23.1292218972,12.761947906,2015-06-18
36.852920016,30.0453558334,11.0603547467,2015-06-19
38.0973040187,26.0393081744,9.58564070155,2015-06-22
39.4826374557,23.9468438399,8.30755521537,2015-06-23
35.9345131303,20.7539311995,16.0204419704,2015-06-24
31.2357717079,17.9867402765,18.2381240595,2015-06-25
30.5422870695,26.9335611414,15.8063741115,2015-06-26
32.3393347208,35.2432388521,13.6988575081,2015-06-29
33.8967760069,30.5441402319,11.8723431323,2015-06-30
33.9094577996,26.4715881209,13.0406364315,2015-07-01
33.9204486867,22.942042978,11.3018848777,2015-07-02
36.2428870884,30.4627911709,9.79496687171,2015-07-06
39.9516803946,38.7491838244,8.4889712721,2015-07-07
43.1659679147,33.5826259238,7.35710842326,2015-07-08
40.7956423513,29.1049424242,17.3186710741,2015-07-09
38.7413602019,25.224283402,15.0095149116,2015-07-10
34.5916639798,21.8610455908,18.7658306503,2015-07-13
30.8093897054,18.9462394938,21.4614600268,2015-07-14
27.9280422459,22.3687581122,18.5999320077,2015-07-15
24.3444467767,19.3862570166,19.7981146818,2015-07-16
24.8039925938,16.8014227372,29.7341396862,2015-07-17
25.974809953,14.561233031,29.2880779529,2015-07-20
26.9895183299,12.6197352876,25.3830008806,2015-07-21
23.7567341879,20.8237118017,21.9986007542,2015-07-22
21.8579740544,18.0472168884,21.8432024433,2015-07-23
19.7459903705,21.3552258624,18.9307754451,2015-07-24
20.9863846981,29.8411890954,16.406672048,2015-07-27
23.6016336216,33.6573006933,14.2191157717,2015-07-28
25.8681826877,29.169660595,12.3232336663,2015-07-29
28.3923251638,28.0154836255,10.6801358423,2015-07-30
32.2104538274,33.8239354174,9.25611772862,2015-07-31
36.251009137,34.7785492787,8.02196869709,2015-08-03
37.1666013568,30.1414093715,11.9796651787,2015-08-04
33.4496424174,26.1225547861,21.6818115226,2015-08-05
32.6109059622,32.803484509,18.790903318,2015-08-06
32.5474740864,31.7083310241,16.2854495411,2015-08-07
28.5078667407,27.4805535525,26.2709201716,2015-08-10
27.4420930254,34.5206806341,22.7681308141,2015-08-11
28.5112919169,41.4164011243,19.7323800379,2015-08-12
26.2008211366,35.8942143062,28.6737348273,2015-08-13
24.1984131271,31.1083190643,24.8505701827,2015-08-14
22.4629928524,26.9605431882,21.5371608244,2015-08-17
21.9507459116,27.2076506922,18.6655393806,2015-08-18
23.943710588,35.0950952476,16.1768007962,2015-08-19
27.4265776946,42.1329209327,14.0198940231,2015-08-20
31.6502575988,47.2715075366,12.1505748198,2015-08-21
36.4276507074,54.2341190854,10.530498177,2015-08-24
38.4721085657,47.0029032067,14.9403852421,2015-08-25
40.6688283175,44.532763967,12.9483338764,2015-08-26
38.4906504424,38.5950621043,23.4885666935,2015-08-27
36.6682655086,33.799949022,20.3567578009,2015-08-28
36.8864272956,39.5497106799,17.6425234273,2015-08-31
38.8056012138,47.4777099137,15.2901869702,2015-09-01
40.4688852762,41.1473485917,13.2514953741,2015-09-02
38.4510382676,35.661035446,21.2441006108,2015-09-03
37.5114786578,35.269842841,18.4115538626,2015-09-04
37.408864927,34.4927450516,15.9566800142,2015-09-08
38.1369659831,34.5833799801,13.8291226789,2015-09-09
38.7679868984,29.9722626494,11.985239655,2015-09-10
40.4950462848,32.6426526295,10.387207701,2015-09-11
42.8678060675,34.1644154957,9.0022466742,2015-09-14
45.5001763214,33.9315044186,7.80194711762,2015-09-15
43.3732564378,29.4073038294,15.9924567328,2015-09-16
42.4100800269,29.5541422999,13.8601291684,2015-09-17
43.3989067307,35.8699746087,12.0121119459,2015-09-18
39.6219591714,31.0873113275,22.9438436865,2015-09-21
38.2528709455,36.4089898172,19.8846645283,2015-09-22
38.3444974367,39.2140383456,17.2333759245,2015-09-23
39.9936148871,45.6708781767,14.9355924679,2015-09-24
40.5681454644,39.5814277531,15.2774997222,2015-09-25
42.4908498391,45.5910373403,13.2404997592,2015-09-28
44.124090122,39.5122323616,11.5569075623,2015-09-29
45.5395650338,34.2439347134,10.015986554,2015-09-30
46.9479570886,30.8685312583,8.68052168011,2015-10-01
43.4676561625,26.7527270905,17.5231173275,2015-10-02
37.7624903549,23.1856968118,22.8729985235,2015-10-05
32.8180133215,20.0942705702,19.823265387,2015-10-06
31.4443787058,17.4150344942,27.5361273911,2015-10-07
32.1630619628,15.093029895,32.6958125701,2015-10-08
33.462706496,13.080625909,31.9554046356,2015-10-09
36.0140471022,11.3365424544,36.4947106842,2015-10-12
35.7736946981,15.5039805982,31.6287492596,2015-10-13
31.9939741717,23.6219400782,27.4115826917,2015-10-14
30.9051587622,20.4723480678,33.2805009178,2015-10-15
31.2960853678,17.7427016587,35.8906907275,2015-10-16
31.6348884259,15.3770081042,31.1052652971,2015-10-19
29.3946941996,19.9934070237,26.9578965909,2015-10-20
27.1818199864,30.2213781453,23.3635103787,2015-10-21
25.2639956683,26.1918610593,20.2483756616,2015-10-22
23.5355618091,22.699612918,29.0673309863,2015-10-23
22.8921760161,19.6729978623,28.7291145932,2015-10-26
24.8615699322,17.0499314807,37.6521888891,2015-10-27
26.5683779928,14.7766072832,32.6318970373,2015-10-28
28.0476116453,12.8063929788,28.2809774323,2015-10-29
31.3293986144,11.098873915,35.7921764967,2015-10-30
34.1736139877,9.61902405964,31.0198862972,2015-11-02
32.8265995392,16.4524144244,26.8839014575,2015-11-03
31.6591870172,14.2587591678,23.2993812632,2015-11-04
27.7538359368,19.2581821273,20.1927970948,2015-11-05
25.588404089,22.054410682,17.5004241488,2015-11-06
25.0871166984,23.6376004396,15.1670342623,2015-11-09
24.2908015241,20.485920381,13.9110285843,2015-11-10
24.4521898271,20.310006645,12.056224773,2015-11-11
24.5920596898,17.602005759,10.4487281366,2015-11-12
28.0098084435,27.3305583079,9.05556438507,2015-11-13
31.1292966403,24.4527494237,7.84815580039,2015-11-16
31.6084404356,21.1923828339,10.2683216937,2015-11-17
33.531717462,24.0809984561,8.89921213452,2015-11-18
31.3872590199,20.8701986619,14.6691873786,2015-11-19
29.5287283701,18.087505507,12.7132957281,2015-11-20
26.7355350177,15.6758381061,18.6181896311,2015-11-23
23.9752725741,18.2079130253,16.1357643469,2015-11-24
22.251162871,15.7801912886,19.698632131,2015-11-25
20.141134545,19.4169170694,17.0721478468,2015-11-27
20.0255770674,16.8279947935,24.8638747951,2015-11-30
20.4643882501,14.5842621544,23.4533672256,2015-12-01
23.6455546085,12.6396938671,32.7640625408,2015-12-02
24.0373402009,16.4688108927,28.3955208687,2015-12-03
24.3768877142,14.2729694403,24.6094514195,2015-12-04
24.6711622258,12.3699068483,21.3281912303,2015-12-07
21.9802662849,16.8960461014,18.4844323996,2015-12-08
20.1859825103,19.0050622805,16.019841413,2015-12-09
18.6309365723,16.4710539765,13.8838625579,2015-12-10
20.1353866472,22.3043749401,12.0326808835,2015-12-11
23.3547825378,27.0034195963,10.4283234324,2015-12-14
25.134839302,23.4029636501,10.8356201557,2015-12-15
23.3056047228,20.2825684967,16.1262865383,2015-12-16
20.5297252111,17.5782260305,16.7252668049,2015-12-17
19.7369368843,19.4450128829,14.4952312309,2015-12-18
20.3934646483,20.786770728,12.5625337334,2015-12-21
18.5901449182,18.0152012976,20.6724912544,2015-12-22
19.5058677863,15.6131744579,26.2778088047,2015-12-23
21.1352792859,13.5314178635,26.1074134642,2015-12-24
18.9510947001,24.8850716131,22.6264250023,2015-12-28
17.5879061869,21.5670620646,25.6913928967,2015-12-29
15.608732654,23.5223506599,22.2658738438,2015-12-30
15.1994943741,24.8304381099,19.2970906646,2015-12-31
