ADX,DI_minus,DI_plus,date
25.7443845041,17.3903836188,22.8671339375,2016-06-08
24.6894291077,15.0716654129,21.6134330023,2016-06-09
21.6802554331,19.5433115915,18.7316415152,2016-06-10
19.0723050243,16.9375363834,16.2340889976,2016-06-13
18.6907075674,19.5134568791,14.0695435609,2016-06-14
17.7467785933,16.9116623816,13.3929238593,2016-06-15
20.6167392382,26.6193225204,11.6072005311,2016-06-16
24.8356488238,32.0823200097,10.0595736833,2016-06-17
28.4920370564,27.8046770775,8.71829710936,2016-06-20
31.9916464813,25.832159556,7.55585743254,2016-06-21
35.0246412696,22.3878714554,6.54840972812,2016-06-22
38.7264093818,24.8270941493,5.67528839592,2016-06-23
42.8964493483,27.8738387772,4.91858325009,2016-06-24
47.6524230352,35.5134902011,4.26277213027,2016-06-27
46.9016210876,30.7783580503,12.5649073897,2016-06-28
41.4355193412,26.6745768838,23.6995519056,2016-06-29
37.1986395271,23.1179665627,28.0613350594,2016-06-30
36.2552776999,20.0355709685,37.3100308703,2016-07-01
34.0872691624,21.5590562062,32.3353600141,2016-07-05
33.2435128983,18.6845153419,33.0438397424,2016-07-06
32.0795690123,17.3616676658,28.6379943945,2016-07-07
33.036337808,15.0467786215,34.4942916913,2016-07-08
35.7739341776,13.0405414552,43.1303262004,2016-07-11
39.280919355,11.301802582,48.3010810081,2016-07-12
42.5066684872,9.79489556161,43.8376164578,2016-07-13
45.3023177302,8.48890947964,37.9926008984,2016-07-14
48.4497534133,7.35705487704,39.9674983678,2016-07-15
51.8898425428,6.37611422277,43.1479142348,2016-07-18
54.9823343176,5.52596565673,38.8299629954,2016-07-19
58.5143509726,4.78917023358,46.9086807883,2016-07-20
60.1103284148,7.03843412604,40.6541899999,2016-07-21
61.7675613844,6.09997624041,38.3274234562,2016-07-22
63.2038299571,5.2866460734,33.2171003185,2016-07-25
61.0400827802,10.3858710542,28.7881536018,2016-07-26
60.0645948823,9.00108824488,29.9006032413,2016-07-27
60.1480438452,7.80094314401,31.8888805549,2016-07-28
61.5937728363,6.76081739031,39.8510617918,2016-07-29
60.8320252967,9.77526820485,34.5375868811,2016-08-01
60.1718440959,8.47189910977,29.932575293,2016-08-02
58.3390673696,9.49143427823,25.9415652511,2016-08-03
57.2228709851,8.22590970699,24.6564177502,2016-08-04
58.0470809169,7.12912174546,31.832560005,2016-08-05
58.7613961909,6.17857217894,27.588218669,2016-08-08
60.6279587541,5.35476255474,33.9615629438,2016-08-09
62.2456463087,4.64079421386,29.4333545496,2016-08-10
64.2419507894,4.02202165182,31.2866367429,2016-08-11
61.2215485801,11.1860508899,27.115085176,2016-08-12
60.0233145545,9.69457743757,30.8980552576,2016-08-15
54.5342977039,18.2819008451,26.7783145557,2016-08-16
49.777149767,15.8443140653,23.2078726143,2016-08-17
46.9647402438,13.7317388563,24.7778633136,2016-08-18
41.3621621779,23.7086189183,21.4741482047,2016-08-19
38.5773531835,28.1949430203,18.6109284437,2016-08-22
34.2637002411,24.4356172839,21.571683028,2016-08-23
32.7139752656,29.6386752977,18.695458624,2016-08-24
32.6538581983,31.6374571907,16.2027308073,2016-08-25
30.5493118165,27.419129565,19.503409655,2016-08-26
28.725371619,23.7632456228,16.9029550342,2016-08-29
27.1446234479,20.5948128729,14.6492276962,2016-08-30
27.3995688756,23.0959657379,12.6959973366,2016-08-31
25.729694899,20.0165036394,14.8325306474,2016-09-01
23.2034820251,17.3476364874,19.8723014842,2016-09-02
23.9088599414,15.034618289,27.0166212865,2016-09-06
24.8947994719,13.0300025171,24.9049279883,2016-09-07
23.3742900323,16.4527099455,21.5842709231,2016-09-08
22.4605934032,26.1108788688,18.7063681333,2016-09-09
22.8548004757,27.2621115074,16.2121857155,2016-09-12
23.1964466052,23.6271633064,14.0505609534,2016-09-13
22.4049396308,20.4768748655,14.4486746265,2016-09-14
19.665193473,17.7466248834,18.4181481009,2016-09-15
17.290746803,15.3804082323,15.9623950208,2016-09-16
17.5770787731,13.3296871346,19.7621583478,2016-09-19
17.8252331472,11.5523955167,17.1272039014,2016-09-20
20.0624478044,10.0120761144,20.6079270641,2016-09-21
24.7802616489,8.6771326325,30.2739949399,2016-09-22
28.8690336475,7.52018161483,26.2374622812,2016-09-23
26.8691783339,17.1995860622,22.7391339771,2016-09-26
26.2391879826,14.9063079206,23.3858106562,2016-09-27
25.6931963448,12.9188001978,20.2677025687,2016-09-28
26.6510348965,11.1962935048,22.1642269824,2016-09-29
27.3134309091,9.97979211899,19.208996718,2016-09-30
23.7288892809,16.5054475008,16.6477971556,2016-10-03
22.8310756075,14.3047211674,20.1625291945,2016-10-04
24.148764374,12.3974250117,24.4523724404,2016-10-05
25.1277067686,11.0414551328,21.192056115,2016-10-06
22.3961690824,16.7372259713,18.366448633,2016-10-07
22.9471066069,14.5055958418,24.9805633203,2016-10-10
24.2873235136,12.5715163962,24.95468881,2016-10-11
25.4488448327,10.89531421,21.6273969686,2016-10-12
22.0941349568,18.6358960166,18.7437440395,2016-10-13
20.8330739415,16.151109881,20.8232563716,2016-10-14
20.7476201346,13.9976285636,21.0807055596,2016-10-17
23.2486965131,12.1312780884,27.9758945852,2016-10-18
26.2984431697,10.5137743433,28.514157726,2016-10-19
27.1817558516,12.4704845479,24.7122700292,2016-10-20
25.5992717626,15.7290356991,21.417300692,2016-10-21
27.5154494504,13.6318309392,31.7853544505,2016-10-24
29.5136900071,11.8142534806,29.2804127475,2016-10-25
26.9636037057,20.6002844706,25.3763577145,2016-10-26
23.7285145482,23.21361437,21.9928433525,2016-10-27
22.3568213765,20.1184657873,26.3664126553,2016-10-28
20.5778857306,27.3790189088,22.8508909679,2016-10-31
20.9365138184,31.8145186314,19.8041055055,2016-11-01
22.7986964416,35.5686027821,17.1635581048,2016-11-02
25.3293019072,36.2229354526,14.8750836908,2016-11-03
28.4081917763,37.0965629452,12.8917391987,2016-11-04
27.8198510454,32.1503545525,19.7068809329,2016-11-07
24.5474006763,27.8636406122,26.0956779585,2016-11-08
23.1361678029,29.9571612653,22.6162542307,2016-11-09
23.3770020147,32.6278282128,19.6007536666,2016-11-10
24.0031983868,30.2478824637,16.9873198444,2016-11-11
26.4358039313,36.2621331322,14.7223438651,2016-11-14
27.3045645118,31.4271820479,15.8489751817,2016-11-15
27.3771275207,27.2368911082,15.3710862227,2016-11-16
23.8130764685,23.6053056271,23.3019355641,2016-11-17
21.8457270055,24.2179137657,20.1950108222,2016-11-18
20.1406908041,20.988858597,17.5023427126,2016-11-21
19.5281670886,18.1903441174,24.8875644391,2016-11-22
18.6038089578,27.7857142497,21.5692225139,2016-11-23
17.8026985778,24.0809523497,18.6933261787,2016-11-25
16.8934029874,20.8701587031,26.0201081019,2016-11-28
16.1053468091,18.087470876,22.550760355,2016-11-29
15.7265369716,25.5216178853,19.5439923076,2016-11-30
17.8302880353,32.5196295164,16.9381266666,2016-12-01
19.6535389571,28.1836789142,14.6797097777,2016-12-02
17.5586631066,24.425855059,22.5731676468,2016-12-05
16.3986920874,21.1690743844,25.2843255558,2016-12-06
16.014323699,18.3465311332,24.0810071593,2016-12-07
17.8056647343,15.9003269821,29.1746200899,2016-12-08
21.5017889707,13.7802833845,36.8142545036,2016-12-09
25.2447487794,11.9429122665,35.4251491089,2016-12-12
29.9685378521,10.3505239643,42.2879578484,2016-12-13
34.0624883818,8.97045410242,36.6495634686,2016-12-14
36.8568180446,9.21622577986,31.7629550062,2016-12-15
37.512141697,11.306210798,27.5278943387,2016-12-16
35.761281718,14.5045686303,23.8575084268,2016-12-19
34.9368283846,12.5706261463,23.1301634716,2016-12-20
30.467685515,19.4854817137,20.0461416753,2016-12-21
26.5944283614,16.8874174852,17.3733227853,2016-12-22
24.1655150245,17.8103583668,15.0568797473,2016-12-23
22.5750563953,15.4356439179,19.7401298423,2016-12-27
20.1809764569,18.7652678603,17.10811253,2016-12-28
20.7450824418,24.4040269994,14.8270308593,2016-12-29
23.3739228601,30.3154842105,12.8500934114,2016-12-30
23.3944853238,26.2734196491,16.2649353599,2017-01-03
22.2545869076,22.7702970292,16.883580835,2017-01-04
19.5197315452,19.7342574253,19.0580410602,2017-01-05
20.1197956719,17.1030231019,27.9169056545,2017-01-06
21.5519003449,14.8226200217,28.0548590658,2017-01-09
22.7930577281,12.8462706855,24.3142111904,2017-01-10
21.8522165029,15.3419023356,21.072316365,2017-01-11
19.5534559432,16.6525541328,18.262674183,2017-01-12
20.8398224936,14.4322135818,26.3374452698,2017-01-13
18.3197234178,23.7285106871,22.8257859005,2017-01-17
16.1356375521,20.5647092621,19.7823477804,2017-01-18
15.6266203018,17.8227480272,22.8304069851,2017-01-19
15.0670041375,15.7273180502,19.7863527204,2017-01-20
17.6633319235,13.6303423102,28.0141135332,2017-01-23
21.545598834,11.8129633355,32.5802625839,2017-01-24
26.4944839244,10.2379015574,39.2950233876,2017-01-25
31.1102856907,8.87284801643,36.7611549724,2017-01-26
33.1051235365,11.7623290871,31.8596676428,2017-01-27
30.2293479195,21.8996786702,27.6117119571,2017-01-30
27.581006809,29.4655726144,23.9301503628,2017-01-31
25.2857778466,25.5368295991,20.7394636478,2017-02-01
22.6371188518,22.1319189859,19.8558321166,2017-02-02
20.8543003039,19.1809964545,23.0986168593,2017-02-03
20.1151338795,27.2569852089,20.0188012781,2017-02-06
19.0630663254,23.6227205144,30.2026743936,2017-02-07
18.6475130792,20.4730244458,28.2411973871,2017-02-08
18.2873669324,17.7432878531,24.4757044022,2017-02-09
20.5212333941,15.3775161393,31.9680484119,2017-02-10
24.2143693439,13.3271806541,38.1487447452,2017-02-13
27.9684973716,11.5502232335,36.9498949697,2017-02-14
31.2220749957,10.0101934691,32.0232423071,2017-02-15
34.5903823115,8.67550100652,31.1975421878,2017-02-16
38.5587324203,7.51876753898,34.6658160351,2017-02-17
43.2681281541,6.51626520045,43.3770405638,2017-02-21
47.3496044566,5.64742984039,37.5934351553,2017-02-22
46.8013773484,12.9111403484,32.5809771346,2017-02-23
46.326247188,11.1896549686,28.2368468499,2017-02-24
46.53968025,9.69770097279,27.5488570135,2017-02-27
43.8177171633,13.9846754767,23.8756760784,2017-02-28
43.3672059524,12.1200520798,28.577814941,2017-03-01
42.9767629029,10.5040451358,24.7674396155,2017-03-02
38.2903532766,18.3482492399,21.4651143334,2017-03-03
34.4755510809,22.590351959,18.603099089,2017-03-06
31.4712034666,19.5783050311,24.8890117626,2017-03-07
31.2742479658,16.9678643603,31.5076188249,2017-03-08
32.3691132776,14.7054824456,33.8962253571,2017-03-09
34.3573103344,12.7447514529,35.6046202251,2017-03-10
37.3527612917,11.0454512591,40.1183651621,2017-03-13
37.8023928478,14.6452114621,34.7692498071,2017-03-14
38.6045164089,12.6925166005,32.4913102276,2017-03-15
40.3337199228,11.0001810538,34.4302785807,2017-03-16
42.6118076035,9.5334902466,35.2450484085,2017-03-17
42.7369798606,12.011701408,30.5457086207,2017-03-20
39.1634170538,19.1955536267,26.4729474713,2017-03-21
35.0004804045,19.5672943843,22.9432211418,2017-03-22
32.6939294549,28.437748029,19.8841249895,2017-03-23
31.528466817,28.0887984764,17.2329083243,2017-03-24
31.4620608985,28.3743058697,14.9351872144,2017-03-27
29.4019441949,24.5910650871,17.8032350062,2017-03-28
26.0056375765,21.3122564088,23.0557618225,2017-03-29
23.8754204007,18.470622221,22.588439074,2017-03-30
21.1783579734,21.0588059249,19.5766471975,2017-03-31
21.0559235783,18.2509651349,27.5252777178,2017-04-03
20.846286442,16.075313284,23.8552406888,2017-04-04
22.7339904475,13.9319381794,28.9382459247,2017-04-05
21.9684905506,17.794322257,25.0798131347,2017-04-06
20.0675609214,25.3682808112,21.7358380501,2017-04-07
17.7280032691,21.9858433697,20.9046267181,2017-04-10
18.1534854333,27.7024379123,18.1173431557,2017-04-11
18.5222366423,24.008779524,15.7016974016,2017-04-12
18.8418210234,20.8076089208,13.6081377481,2017-04-13
17.7922528849,18.0332610647,22.4772931636,2017-04-17
17.6803847633,15.6288262561,22.0097923423,2017-04-18
19.6302960297,13.5449827552,26.4725269071,2017-04-19
22.5912709705,11.7389850545,28.6272539123,2017-04-20
25.1574492525,10.1737870473,24.810286724,2017-04-21
29.6935337394,8.81728210764,34.381483335,2017-04-24
34.9938661103,7.64164449329,42.3789821106,2017-04-25
39.7400234099,6.62275856085,38.4147721246,2017-04-26
