,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
53,8.78,8.78,2016-12-14,8.96,8.75,8.85,GPRO,2392800
54,8.82,8.82,2016-12-13,9.02,8.80,9.02,GPRO,3486400
55,8.81,8.81,2016-12-12,9.35,8.75,9.35,GPRO,4877400
56,9.23,9.23,2016-12-09,9.42,9.15,9.17,GPRO,3804700
57,9.20,9.20,2016-12-08,9.39,9.01,9.34,GPRO,4793600
58,9.37,9.37,2016-12-07,9.79,9.33,9.75,GPRO,4993200
59,9.75,9.75,2016-12-06,9.79,9.61,9.64,GPRO,2326100
60,9.66,9.66,2016-12-05,9.881,9.65,9.72,GPRO,4094600
61,9.70,9.70,2016-12-02,10.02,9.59,10.02,GPRO,3393100
62,9.82,9.82,2016-12-01,10.24,9.70,10.08,GPRO,4776000
63,9.98,9.98,2016-11-30,10.40,9.98,10.08,GPRO,6189800
64,9.83,9.83,2016-11-29,10.07,9.73,9.80,GPRO,2945600
65,9.81,9.81,2016-11-28,9.92,9.72,9.75,GPRO,2594400
66,9.89,9.89,2016-11-25,10.08,9.84,9.90,GPRO,1791200
67,9.88,9.88,2016-11-23,9.94,9.61,9.74,GPRO,2292100
68,9.79,9.79,2016-11-22,10.00,9.55,9.93,GPRO,5535700
69,9.91,9.91,2016-11-21,10.23,9.85,9.95,GPRO,4659300
70,10.02,10.02,2016-11-18,10.07,9.87,10.01,GPRO,3405200
71,9.98,9.98,2016-11-17,10.09,9.77,9.89,GPRO,4183500
72,9.90,9.90,2016-11-16,10.14,9.86,10.08,GPRO,4735400
73,10.14,10.14,2016-11-15,10.40,10.01,10.35,GPRO,4557200
74,10.35,10.35,2016-11-14,10.50,10.20,10.25,GPRO,3175800
75,10.28,10.28,2016-11-11,10.36,9.95,10.17,GPRO,3706500
76,10.21,10.21,2016-11-10,10.67,10.07,10.37,GPRO,3591600
77,10.41,10.41,2016-11-09,10.42,9.75,9.82,GPRO,7577500
78,10.86,10.86,2016-11-08,11.16,10.44,10.64,GPRO,5786100
79,10.64,10.64,2016-11-07,11.35,10.29,11.30,GPRO,10583800
80,11.16,11.16,2016-11-04,12.47,9.90,10.00,GPRO,29462200
81,11.94,11.94,2016-11-03,12.60,11.82,12.55,GPRO,9147300
82,12.84,12.84,2016-11-02,13.09,12.32,12.32,GPRO,5735700
83,12.48,12.48,2016-11-01,13.00,12.25,12.72,GPRO,5517700
84,12.78,12.78,2016-10-31,13.60,12.72,13.54,GPRO,7304000
85,13.60,13.60,2016-10-28,14.04,13.56,13.75,GPRO,2927100
86,13.73,13.73,2016-10-27,14.34,13.70,13.96,GPRO,3744000
87,14.13,14.13,2016-10-26,14.30,13.80,13.84,GPRO,3630900
88,13.88,13.88,2016-10-25,14.109,13.665,13.91,GPRO,3948700
89,13.88,13.88,2016-10-24,14.75,13.80,14.65,GPRO,9154200
90,14.93,14.93,2016-10-21,15.12,14.50,14.59,GPRO,4002200
91,14.75,14.75,2016-10-20,15.03,14.55,14.66,GPRO,4886700
92,14.73,14.73,2016-10-19,14.86,14.55,14.68,GPRO,221600
93,14.41,14.41,2016-10-18,14.58,14.11,14.25,GPRO,6566700
94,14.07,14.07,2016-10-17,14.29,13.59,14.05,GPRO,7732200
95,13.60,13.60,2016-10-14,14.20,13.50,14.20,GPRO,6837100
96,13.84,13.84,2016-10-13,14.39,13.59,13.76,GPRO,10559000
97,14.30,14.30,2016-10-12,14.95,14.18,14.95,GPRO,7228700
98,15.02,15.02,2016-10-11,15.68,14.85,15.55,GPRO,7866900
99,15.66,15.66,2016-10-10,16.50,15.65,16.43,GPRO,7137300
100,16.34,16.34,2016-10-07,16.768999,16.059999,16.66,GPRO,5567300
101,16.790001,16.790001,2016-10-06,17.129999,16.610001,17.059999,GPRO,5921100
102,17.129999,17.129999,2016-10-05,17.68,16.90,16.90,GPRO,9219800
103,16.889999,16.889999,2016-10-04,17.620001,16.60,16.83,GPRO,11114300
104,16.74,16.74,2016-10-03,16.98,16.344999,16.870001,GPRO,7271800
105,16.68,16.68,2016-09-30,17.00,16.60,16.799999,GPRO,5494600
106,16.60,16.60,2016-09-29,16.91,16.40,16.860001,GPRO,6537100
107,16.99,16.99,2016-09-28,17.200001,16.469999,16.57,GPRO,7927900
108,16.790001,16.790001,2016-09-27,17.35,15.845,16.719999,GPRO,14083400
109,16.92,16.92,2016-09-26,17.18,16.51,16.82,GPRO,8836300
110,17.15,17.15,2016-09-23,17.407,16.10,16.120001,GPRO,20144600
111,16.049999,16.049999,2016-09-22,16.42,15.13,15.30,GPRO,18554600
112,14.97,14.97,2016-09-21,15.05,14.26,14.62,GPRO,10474600
113,14.26,14.26,2016-09-20,15.70,13.891,15.69,GPRO,22303800
114,15.31,15.31,2016-09-19,16.440001,15.00,15.60,GPRO,35081600
115,14.96,14.96,2016-09-16,15.07,14.51,14.66,GPRO,17356600
116,14.16,14.16,2016-09-15,14.23,13.13,13.21,GPRO,8111300
117,13.07,13.07,2016-09-14,13.25,12.81,12.81,GPRO,5102900
118,12.80,12.80,2016-09-13,13.17,12.62,13.13,GPRO,5315200
119,13.20,13.20,2016-09-12,13.53,12.58,12.61,GPRO,6549900
120,12.85,12.85,2016-09-09,13.55,12.83,13.48,GPRO,7034500
121,13.58,13.58,2016-09-08,14.12,13.38,14.12,GPRO,6148600
122,13.88,13.88,2016-09-07,14.66,13.66,14.44,GPRO,7355300
123,14.57,14.57,2016-09-06,14.66,14.10,14.22,GPRO,4834500
124,14.13,14.13,2016-09-02,14.70,14.04,14.57,GPRO,5775200
125,14.53,14.53,2016-09-01,14.95,14.14,14.94,GPRO,5520300
126,14.65,14.65,2016-08-31,15.05,14.56,14.94,GPRO,3828200
127,14.86,14.86,2016-08-30,15.32,14.75,15.00,GPRO,4719700
128,14.87,14.87,2016-08-29,15.20,14.66,14.75,GPRO,3639900
129,14.72,14.72,2016-08-26,15.18,14.51,14.90,GPRO,4441800
130,14.89,14.89,2016-08-25,15.11,14.65,14.96,GPRO,4040100
131,15.00,15.00,2016-08-24,15.80,14.91,15.79,GPRO,6468800
132,15.51,15.51,2016-08-23,15.99,15.47,15.61,GPRO,8013700
133,15.20,15.20,2016-08-22,15.90,14.90,14.98,GPRO,6696900
134,15.12,15.12,2016-08-19,15.21,14.60,15.01,GPRO,6248000
135,15.12,15.12,2016-08-18,15.49,14.90,15.43,GPRO,5685400
136,15.41,15.41,2016-08-17,15.62,15.19,15.51,GPRO,5288200
137,15.39,15.39,2016-08-16,16.00,15.25,15.70,GPRO,8848700
138,15.61,15.61,2016-08-15,16.25,14.30,14.30,GPRO,17228000
139,14.30,14.30,2016-08-12,14.33,13.828,14.03,GPRO,4973400
140,13.97,13.97,2016-08-11,14.36,13.96,14.35,GPRO,5197900
141,14.14,14.14,2016-08-10,14.68,13.93,14.67,GPRO,6777700
142,14.54,14.54,2016-08-09,14.87,14.39,14.68,GPRO,7253300
143,14.29,14.29,2016-08-08,14.80,13.961,14.00,GPRO,10105600
144,13.77,13.77,2016-08-05,14.14,13.59,13.59,GPRO,7028200
145,13.53,13.53,2016-08-04,13.828,13.191,13.50,GPRO,7028900
146,13.30,13.30,2016-08-03,13.50,12.61,12.73,GPRO,7598100
147,12.55,12.55,2016-08-02,13.32,12.53,12.90,GPRO,6741900
148,12.94,12.94,2016-08-01,13.30,12.47,12.58,GPRO,7627200
149,12.64,12.64,2016-07-29,12.89,12.23,12.88,GPRO,11407200
150,13.02,13.02,2016-07-28,13.28,11.754,12.15,GPRO,24145000
151,11.57,11.57,2016-07-27,11.83,11.42,11.47,GPRO,10651700
152,11.32,11.32,2016-07-26,11.54,11.25,11.41,GPRO,4094000
153,11.41,11.41,2016-07-25,11.50,11.057,11.11,GPRO,4933200
154,11.08,11.08,2016-07-22,11.52,11.06,11.32,GPRO,4989900
155,11.23,11.23,2016-07-21,11.49,11.03,11.09,GPRO,7211500
156,10.90,10.90,2016-07-20,11.13,10.88,11.09,GPRO,6044700
157,11.01,11.01,2016-07-19,11.98,10.985,11.98,GPRO,9468700
158,11.85,11.85,2016-07-18,12.00,11.65,11.95,GPRO,4384500
159,11.90,11.90,2016-07-15,12.47,11.85,12.31,GPRO,5174800
160,12.28,12.28,2016-07-14,12.72,12.24,12.60,GPRO,5361400
161,12.43,12.43,2016-07-13,13.40,12.14,12.80,GPRO,9434900
162,12.46,12.46,2016-07-12,12.65,12.19,12.53,GPRO,7082600
163,12.43,12.43,2016-07-11,12.49,11.10,11.11,GPRO,13488000
164,10.97,10.97,2016-07-08,11.22,10.85,10.96,GPRO,4454300
165,10.77,10.77,2016-07-07,11.13,10.52,10.55,GPRO,5765300
166,10.59,10.59,2016-07-06,10.66,10.25,10.38,GPRO,2966500
167,10.65,10.65,2016-07-05,10.96,10.60,10.92,GPRO,3083700
168,11.05,11.05,2016-07-01,11.14,10.77,10.86,GPRO,4190800
169,10.81,10.81,2016-06-30,10.88,10.32,10.70,GPRO,5661200
170,10.81,10.81,2016-06-29,10.90,10.431,10.60,GPRO,5284200
171,10.48,10.48,2016-06-28,10.899,10.30,10.52,GPRO,5261700
172,10.21,10.21,2016-06-27,10.87,10.01,10.61,GPRO,6833400
173,10.78,10.78,2016-06-24,11.065,10.50,10.52,GPRO,15050700
174,11.32,11.32,2016-06-23,11.40,11.15,11.26,GPRO,4479400
175,11.10,11.10,2016-06-22,11.46,11.03,11.20,GPRO,4121800
176,11.20,11.20,2016-06-21,11.26,10.95,11.01,GPRO,5898400
177,10.85,10.85,2016-06-20,11.47,10.80,10.89,GPRO,8239600
178,10.65,10.65,2016-06-17,10.83,9.87,9.88,GPRO,8843200
179,9.84,9.84,2016-06-16,9.895,9.51,9.66,GPRO,4415300
180,9.82,9.82,2016-06-15,10.23,9.64,9.80,GPRO,4891900
181,9.71,9.71,2016-06-14,10.07,9.53,9.84,GPRO,4451800
182,9.97,9.97,2016-06-13,10.30,9.85,9.91,GPRO,4395200
183,10.26,10.26,2016-06-10,10.79,10.24,10.79,GPRO,3959500
184,10.90,10.90,2016-06-09,10.96,10.77,10.89,GPRO,3198800
185,11.06,11.06,2016-06-08,11.29,10.91,11.15,GPRO,3941400
186,11.07,11.07,2016-06-07,11.10,10.75,10.94,GPRO,3850200
187,10.92,10.92,2016-06-06,11.00,10.39,10.70,GPRO,4564200
188,10.72,10.72,2016-06-03,11.00,10.66,11.00,GPRO,5973100
189,10.72,10.72,2016-06-02,10.75,10.23,10.28,GPRO,5079800
190,10.32,10.32,2016-06-01,10.32,9.92,10.16,GPRO,4875700
191,10.27,10.27,2016-05-31,10.51,10.10,10.27,GPRO,5931000
192,10.20,10.20,2016-05-27,10.22,9.72,9.99,GPRO,5138300
193,9.98,9.98,2016-05-26,10.24,9.77,10.20,GPRO,6191600
194,10.08,10.08,2016-05-25,10.18,9.71,9.82,GPRO,6070200
195,9.71,9.71,2016-05-24,10.08,9.63,9.91,GPRO,9519200
196,9.26,9.26,2016-05-23,9.60,9.20,9.20,GPRO,5698400
197,9.15,9.15,2016-05-20,9.20,8.75,8.92,GPRO,5928200
198,8.85,8.85,2016-05-19,8.90,8.62,8.75,GPRO,5955700
199,8.80,8.80,2016-05-18,9.12,8.77,8.94,GPRO,4798800
200,8.99,8.99,2016-05-17,9.23,8.85,8.98,GPRO,4361400
201,8.93,8.93,2016-05-16,9.26,8.80,9.05,GPRO,5758100
202,8.88,8.88,2016-05-13,9.42,8.76,8.89,GPRO,7739100
203,8.82,8.82,2016-05-12,9.55,8.79,9.51,GPRO,10039000
204,9.46,9.46,2016-05-11,9.85,9.41,9.83,GPRO,7687800
205,9.82,9.82,2016-05-10,9.99,9.43,9.87,GPRO,6623100
206,9.78,9.78,2016-05-09,10.60,9.75,10.45,GPRO,10693300
207,10.46,10.46,2016-05-06,10.65,9.81,9.93,GPRO,14540100
208,10.71,10.71,2016-05-05,11.55,10.67,11.39,GPRO,12398000
209,11.40,11.40,2016-05-04,11.79,11.17,11.54,GPRO,6156800
210,11.65,11.65,2016-05-03,12.12,11.45,12.10,GPRO,6227600
211,12.23,12.23,2016-05-02,12.64,12.00,12.56,GPRO,6276300
212,12.64,12.64,2016-04-29,13.14,12.41,13.02,GPRO,5395400
213,12.94,12.94,2016-04-28,13.35,12.91,13.24,GPRO,5111800
214,13.30,13.30,2016-04-27,13.43,12.80,12.94,GPRO,4672800
