Close_Price,Date,High,Low
9.81,2016-11-28,9.92,9.72
9.89,2016-11-25,10.08,9.84
9.88,2016-11-23,9.94,9.61
9.79,2016-11-22,10.00,9.55
9.91,2016-11-21,10.23,9.85
10.02,2016-11-18,10.07,9.87
9.98,2016-11-17,10.09,9.77
9.90,2016-11-16,10.14,9.86
10.14,2016-11-15,10.40,10.01
10.35,2016-11-14,10.50,10.20
10.28,2016-11-11,10.36,9.95
10.21,2016-11-10,10.67,10.07
10.41,2016-11-09,10.42,9.75
10.86,2016-11-08,11.16,10.44
10.64,2016-11-07,11.35,10.29
11.16,2016-11-04,12.47,9.90
11.94,2016-11-03,12.60,11.82
12.84,2016-11-02,13.09,12.32
12.48,2016-11-01,13.00,12.25
12.78,2016-10-31,13.60,12.72
13.60,2016-10-28,14.04,13.56
13.73,2016-10-27,14.34,13.70
14.13,2016-10-26,14.30,13.80
13.88,2016-10-25,14.109,13.665
13.88,2016-10-24,14.75,13.80
14.93,2016-10-21,15.12,14.50
14.75,2016-10-20,15.03,14.55
14.73,2016-10-19,14.86,14.55
14.41,2016-10-18,14.58,14.11
14.07,2016-10-17,14.29,13.59
13.60,2016-10-14,14.20,13.50
13.84,2016-10-13,14.39,13.59
14.30,2016-10-12,14.95,14.18
15.02,2016-10-11,15.68,14.85
15.66,2016-10-10,16.50,15.65
16.34,2016-10-07,16.768999,16.059999
16.790001,2016-10-06,17.129999,16.610001
17.129999,2016-10-05,17.68,16.90
16.889999,2016-10-04,17.620001,16.60
16.74,2016-10-03,16.98,16.344999
16.68,2016-09-30,17.00,16.60
16.60,2016-09-29,16.91,16.40
16.99,2016-09-28,17.200001,16.469999
16.790001,2016-09-27,17.35,15.845
16.92,2016-09-26,17.18,16.51
17.15,2016-09-23,17.407,16.10
16.049999,2016-09-22,16.42,15.13
14.97,2016-09-21,15.05,14.26
14.26,2016-09-20,15.70,13.891
15.31,2016-09-19,16.440001,15.00
14.96,2016-09-16,15.07,14.51
14.16,2016-09-15,14.23,13.13
13.07,2016-09-14,13.25,12.81
12.80,2016-09-13,13.17,12.62
13.20,2016-09-12,13.53,12.58
12.85,2016-09-09,13.55,12.83
13.58,2016-09-08,14.12,13.38
13.88,2016-09-07,14.66,13.66
14.57,2016-09-06,14.66,14.10
14.13,2016-09-02,14.70,14.04
14.53,2016-09-01,14.95,14.14
14.65,2016-08-31,15.05,14.56
14.86,2016-08-30,15.32,14.75
14.87,2016-08-29,15.20,14.66
14.72,2016-08-26,15.18,14.51
14.89,2016-08-25,15.11,14.65
15.00,2016-08-24,15.80,14.91
15.51,2016-08-23,15.99,15.47
15.20,2016-08-22,15.90,14.90
15.12,2016-08-19,15.21,14.60
15.12,2016-08-18,15.49,14.90
15.41,2016-08-17,15.62,15.19
15.39,2016-08-16,16.00,15.25
15.61,2016-08-15,16.25,14.30
14.30,2016-08-12,14.33,13.828
13.97,2016-08-11,14.36,13.96
14.14,2016-08-10,14.68,13.93
14.54,2016-08-09,14.87,14.39
14.29,2016-08-08,14.80,13.961
13.77,2016-08-05,14.14,13.59
13.53,2016-08-04,13.828,13.191
13.30,2016-08-03,13.50,12.61
12.55,2016-08-02,13.32,12.53
12.94,2016-08-01,13.30,12.47
12.64,2016-07-29,12.89,12.23
13.02,2016-07-28,13.28,11.754
11.57,2016-07-27,11.83,11.42
11.32,2016-07-26,11.54,11.25
11.41,2016-07-25,11.50,11.057
11.08,2016-07-22,11.52,11.06
11.23,2016-07-21,11.49,11.03
10.90,2016-07-20,11.13,10.88
11.01,2016-07-19,11.98,10.985
11.85,2016-07-18,12.00,11.65
11.90,2016-07-15,12.47,11.85
12.28,2016-07-14,12.72,12.24
12.43,2016-07-13,13.40,12.14
12.46,2016-07-12,12.65,12.19
12.43,2016-07-11,12.49,11.10
10.97,2016-07-08,11.22,10.85
10.77,2016-07-07,11.13,10.52
10.59,2016-07-06,10.66,10.25
10.65,2016-07-05,10.96,10.60
11.05,2016-07-01,11.14,10.77
10.81,2016-06-30,10.88,10.32
10.81,2016-06-29,10.90,10.431
10.48,2016-06-28,10.899,10.30
10.21,2016-06-27,10.87,10.01
10.78,2016-06-24,11.065,10.50
11.32,2016-06-23,11.40,11.15
11.10,2016-06-22,11.46,11.03
11.20,2016-06-21,11.26,10.95
10.85,2016-06-20,11.47,10.80
10.65,2016-06-17,10.83,9.87
9.84,2016-06-16,9.895,9.51
9.82,2016-06-15,10.23,9.64
9.71,2016-06-14,10.07,9.53
9.97,2016-06-13,10.30,9.85
10.26,2016-06-10,10.79,10.24
10.90,2016-06-09,10.96,10.77
11.06,2016-06-08,11.29,10.91
11.07,2016-06-07,11.10,10.75
10.92,2016-06-06,11.00,10.39
10.72,2016-06-03,11.00,10.66
10.72,2016-06-02,10.75,10.23
10.32,2016-06-01,10.32,9.92
10.27,2016-05-31,10.51,10.10
10.20,2016-05-27,10.22,9.72
9.98,2016-05-26,10.24,9.77
10.08,2016-05-25,10.18,9.71
9.71,2016-05-24,10.08,9.63
9.26,2016-05-23,9.60,9.20
9.15,2016-05-20,9.20,8.75
8.85,2016-05-19,8.90,8.62
8.80,2016-05-18,9.12,8.77
8.99,2016-05-17,9.23,8.85
8.93,2016-05-16,9.26,8.80
8.88,2016-05-13,9.42,8.76
8.82,2016-05-12,9.55,8.79
9.46,2016-05-11,9.85,9.41
9.82,2016-05-10,9.99,9.43
9.78,2016-05-09,10.60,9.75
10.46,2016-05-06,10.65,9.81
10.71,2016-05-05,11.55,10.67
11.40,2016-05-04,11.79,11.17
11.65,2016-05-03,12.12,11.45
12.23,2016-05-02,12.64,12.00
12.64,2016-04-29,13.14,12.41
12.94,2016-04-28,13.35,12.91
13.30,2016-04-27,13.43,12.80
13.18,2016-04-26,13.24,12.53
12.82,2016-04-25,13.80,12.67
13.98,2016-04-22,14.179,13.50
13.56,2016-04-21,13.82,13.32
13.44,2016-04-20,13.77,12.90
12.95,2016-04-19,13.38,12.82
13.13,2016-04-18,13.68,13.04
13.77,2016-04-15,14.34,13.41
13.80,2016-04-14,14.35,13.11
13.90,2016-04-13,14.04,11.85
11.68,2016-04-12,12.06,11.58
11.77,2016-04-11,12.53,11.74
12.32,2016-04-08,12.75,12.25
12.29,2016-04-07,12.49,11.90
12.12,2016-04-06,12.16,11.63
11.65,2016-04-05,12.04,11.621
12.03,2016-04-04,12.37,11.67
11.74,2016-04-01,11.99,11.61
11.96,2016-03-31,12.213,11.84
12.16,2016-03-30,12.37,11.70
11.65,2016-03-29,11.76,11.08
11.50,2016-03-28,12.50,11.49
12.42,2016-03-24,12.48,11.92
12.27,2016-03-23,13.11,12.23
12.97,2016-03-22,13.17,12.79
13.07,2016-03-21,13.19,12.63
12.88,2016-03-18,13.61,12.72
12.95,2016-03-17,13.19,12.24
12.31,2016-03-16,12.47,11.66
11.70,2016-03-15,12.24,11.55
12.27,2016-03-14,12.60,12.14
12.60,2016-03-11,12.98,12.13
12.18,2016-03-10,12.62,11.90
12.28,2016-03-09,12.70,12.10
12.41,2016-03-08,13.70,12.375
13.88,2016-03-07,14.075,13.23
13.36,2016-03-04,14.84,13.10
13.58,2016-03-03,14.10,12.76
